"household_id","ind_id","rooms","tablet","males_under_12","males_over_12","males_tot","females_under_12","females_over_12","females_tot","ppl_under_12","ppl_over_12","ppl_total","years_of_schooling","wall_block_brick","wall_socket","wall_prefab_cement","wall_wood","floor_mos_cer_terr","floor_cement","floor_wood","ceiling","electric_public","electric_coop","toilet_sewer","toilet_septic","cookenergy_elec","cookenergy_gas","trash_truck","trash_burn","wall_bad","wall_reg","wall_good","roof_bad","roof_reg","roof_good","floor_bad","floor_reg","floor_good","disabled_ppl","male","female","under10","free","married","separated","single","hh_head","hh_spouse","hh_child","num_child","num_adults","num_65plus","num_hh_total","dependency_rate","male_hh_head_educ","female_hh_head_educ","meaneduc","educ_none","educ_primary_inc","educ_primary","educ_secondary_inc","educ_secondary","educ_undergrad","bedrooms","ppl_per_room","house_owned_full","house_owned_paying","house_rented","house_other","computer","television","num_mobilephones","region_central","region_Chorotega","region_pacifico","region_brunca","region_antlantica","region_huetar","urban_zone","rural_zone","age","Target","monthly_rent"
"21eb7fcc1","ID_279628684",3,"0",0,1,1,0,0,0,0,1,1,10,"1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0",0,1,0,1,37,11,1,10,"0","0","0","1","0","0",1,1,"0","0","1","0","0","0",1,"1","0","0","0","0","0","1","0",43,4,190000
"0e5d7a658","ID_f29eb3ddd",4,"1",0,1,1,0,0,0,0,1,1,12,"0","0","0","1","0","0","1","1","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0,1,1,1,36,13,1,12,"0","0","0","0","0","1",1,1,"0","0","1","0","0","0",1,"1","0","0","0","0","0","1","0",67,4,135000
"2c7317ea8","ID_68de51c94",8,"0",0,0,0,0,1,1,0,1,1,11,"0","0","0","1","1","0","0","1","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0","0",0,1,1,1,36,1,12,11,"0","0","0","0","1","0",2,0.5,"1","0","0","0","0","0",0,"1","0","0","0","0","0","1","0",92,4,NA
"2b58d945f","ID_d671db89c",5,"1",0,2,2,1,1,2,1,3,4,9,"1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1",2,2,0,4,38,12,1,11,"0","0","0","1","0","0",3,1.3333334,"0","0","1","0","0","0",3,"1","0","0","0","0","0","1","0",17,4,180000
"2b58d945f","ID_d56d6f5f5",5,"1",0,2,2,1,1,2,1,3,4,11,"1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","1","0",2,2,0,4,38,12,1,11,"0","0","0","0","1","0",3,1.3333334,"0","0","1","0","0","0",3,"1","0","0","0","0","0","1","0",37,4,180000
"2b58d945f","ID_ec05b1a7b",5,"1",0,2,2,1,1,2,1,3,4,11,"1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0",2,2,0,4,38,12,1,11,"0","0","0","0","1","0",3,1.3333334,"0","0","1","0","0","0",3,"1","0","0","0","0","0","1","0",38,4,180000
"2b58d945f","ID_e9e0c1100",5,"1",0,2,2,1,1,2,1,3,4,2,"1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1",2,2,0,4,38,12,1,11,"0","1","0","0","0","0",3,1.3333334,"0","0","1","0","0","0",3,"1","0","0","0","0","0","1","0",8,4,180000
"d6dae86b7","ID_3e04e571e",2,"0",0,1,1,2,1,3,2,2,4,0,"1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1",2,2,0,4,38,10,1,10,"1","0","0","0","0","0",1,4,"0","0","1","0","0","0",1,"1","0","0","0","0","0","1","0",7,4,130000
"d6dae86b7","ID_1284f8aad",2,"0",0,1,1,2,1,3,2,2,4,9,"1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0",2,2,0,4,38,10,1,10,"0","0","0","1","0","0",1,4,"0","0","1","0","0","0",1,"1","0","0","0","0","0","1","0",30,4,130000
"d6dae86b7","ID_51f52fdd2",2,"0",0,1,1,2,1,3,2,2,4,11,"1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0",2,2,0,4,38,10,1,10,"0","0","0","0","1","0",1,4,"0","0","1","0","0","0",1,"1","0","0","0","0","0","1","0",28,4,130000
